"MSID","A0","A1","A2","A3","A4","A5","B0","B1","B2","B3","B4","B5","GName50k","f0","dl0"
63,412106.94,0.9996474,0.0116691,-9.20E-010,1.08E-009,-5.00E-010,4455812.81,-0.0116719,0.999652,3.00E-010,-3.70E-010,-2.15E-009,"Βασιλικά",40.15,-0.45
64,199481.22,0.9999334,0.0399113,-3.51E-009,3.47E-009,-1.10E-010,4461296.81,-0.0399157,0.9999094,1.20E-010,-6.80E-010,-7.28E-009,"Βασιλικόν",40.15,-3.15
65,496938.36,0.9996032,0.0003666,1.30E-010,2.40E-010,-8.50E-010,3900618.84,-0.0003713,0.9995887,5.90E-010,-9.00E-011,9.00E-011,"Βατόλακκος",35.15,0.15
66,327063.85,0.9997106,0.0229562,-2.16E-009,2.05E-009,-8.00E-011,4457285.55,-0.0229499,0.9997092,3.40E-010,9.00E-011,-4.22E-009,"Βελβεντός",40.15,-1.45
67,367684.08,0.999679,0.0169527,-1.71E-009,1.69E-009,-1.70E-010,4345447.64,-0.0169511,0.9996848,3.40E-010,-2.80E-010,-3.35E-009,"Βελεστίνον",39.15,-1.15
68,328344.58,0.9996969,0.0231864,-2.00E-009,2.00E-009,-3.50E-010,4512785.39,-0.0231862,0.999692,1.20E-010,-2.40E-010,-4.20E-009,"Βέροια",40.45,-1.45
69,286135.29,0.9997525,0.0288945,-2.58E-009,2.63E-009,-5.00E-011,4513884.8,-0.0288922,0.9997499,2.70E-010,-2.00E-010,-5.14E-009,"Βεύη",40.45,-2.15
70,329638.18,0.9996651,0.0234008,-1.46E-009,1.48E-009,-6.30E-010,4568288.43,-0.0234243,0.999635,9.50E-010,-1.37E-009,-4.12E-009,"Βιτολίστε",41.15,-1.45
71,188691.7,1.0000492,0.0377897,-3.16E-009,4.05E-009,1.18E-009,4183787.61,-0.0378103,1.0000914,-2.50E-010,-5.30E-010,-7.62E-009,"Βολίμαι",37.45,-3.15
72,670867.36,0.9997462,-0.0214286,1.91E-009,-1.94E-009,3.40E-010,4290676.65,0.0214176,0.9997583,-5.00E-011,3.80E-010,3.68E-009,"Βολισσός",38.45,2.15
73,410824.53,0.9996479,0.0114383,-6.20E-010,9.50E-010,4.50E-010,4344835.32,-0.011442,0.9996475,-6.50E-010,2.90E-010,-1.73E-009,"Βόλος",39.15,-0.45
74,236395.18,0.9999088,0.0331796,-3.30E-009,3.21E-009,-5.20E-010,4293221.14,-0.0331876,0.9999168,1.30E-010,0.00E+000,-6.47E-009,"Βόνιτσα",38.45,-2.45
75,496938.36,0.9996032,0.0003666,1.30E-010,2.40E-010,-8.50E-010,3900618.84,-0.0003713,0.9995887,5.90E-010,-9.00E-011,9.00E-011,"Βρύσαι",35.15,0.15
76,664743.34,0.9996989,-0.0226246,2.20E-009,-2.03E-009,4.00E-011,4568156.21,0.0226223,0.999695,-2.00E-011,-2.80E-010,4.16E-009,"Βυρσίνη",41.15,2.15
77,540767.88,0.9990853,-0.0075251,-2.41E-009,-4.09E-008,-1.73E-008,4233517.62,0.0055838,1.0026717,3.52E-009,4.93E-008,1.79E-008,"Γαύριον-Βόρ.",38.15,0.45
77,585124.89,0.9996411,-0.0103188,1.16E-009,-9.60E-010,9.00E-011,4178339.97,0.0103221,0.9996385,7.00E-011,4.00E-011,2.11E-009,"Γαύριον-Ανατολ.",37.45,1.15
78,856398.54,1.000347,-0.0409876,4.45E-009,-4.28E-009,-1.43E-009,4018803.45,0.0409873,1.0003529,5.10E-010,-3.70E-010,8.70E-009,"Γεννάδιον",36.15,4.15
79,363106.91,0.9997337,0.0160302,-2.70E-009,1.92E-009,-7.30E-010,4068067.38,-0.0160286,0.9997373,2.30E-010,-3.40E-010,-4.17E-009,"Γερολιμήν",36.45,-1.15
80,370551.88,0.999667,0.0174749,-2.54E-009,2.00E-009,-1.19E-009,4511926.58,-0.0174424,0.9996652,1.28E-009,4.00E-011,-4.26E-009,"Γιαννιτσά",40.45,-1.15
81,364001.39,0.9997239,0.0162086,-1.95E-009,1.72E-009,-1.20E-010,4123535.02,-0.0162181,0.9997184,6.00E-011,-1.90E-010,-3.50E-009,"Γκοριτσά",37.15,-1.15
82,368630.23,0.9996727,0.0171317,-1.43E-009,1.32E-009,-1.00E-011,4400936.37,-0.0171354,0.9996806,2.30E-010,-3.20E-010,-3.10E-009,"Γόννοι",39.45,-1.15
83,276805.78,0.9998655,0.0271118,-2.85E-009,2.73E-009,-4.80E-010,4180923.7,-0.0271094,0.9998676,2.30E-010,-1.80E-010,-5.62E-009,"Γούμερον",37.45,-2.15
84,242011.95,0.9998371,0.034258,-3.26E-009,3.00E-009,-5.30E-010,4459719.05,-0.0342616,0.9998322,1.00E-010,-1.70E-010,-6.13E-009,"Γράμος",40.15,-2.45
85,284538.99,0.9997706,0.0285791,-2.89E-009,2.33E-009,6.00E-011,4458382.39,-0.0286019,0.9997867,6.40E-010,2.90E-010,-5.56E-009,"Γρεβενά",40.15,-2.15
86,363106.83,0.9997371,0.0209876,-1.82E-009,1.68E-009,-3.90E-010,4068066.63,-0.0160339,0.9997328,1.40E-010,-1.00E-011,-2.96E-009,"Γύθειον",36.45,-1.15
87,320857.52,0.9997806,0.0217461,-2.19E-009,2.32E-009,-4.60E-010,4179847.36,-0.0217525,0.9997788,6.00E-011,-4.10E-010,-4.54E-009,"Δάφνη",37.45,-1.45
88,197276.84,0.9999511,0.0395039,-3.63E-009,3.73E-009,-3.10E-010,4405788.91,-0.039501,0.9999532,2.00E-010,-2.20E-010,-7.24E-009,"Δελβινάκιον",39.45,-3.15
89,365821.41,0.999728,0.0166074,-1.49E-009,2.09E-009,1.00E-009,4234482.96,-0.0165573,0.9997059,1.00E-011,-2.70E-010,-2.45E-009,"Δερβένιον",38.15,-1.15
90,325796.38,0.9996989,0.0226771,-2.56E-009,3.39E-009,3.90E-010,4401790.18,-0.0227047,0.99974,2.00E-010,-9.00E-010,-5.14E-009,"Δεσκάτη",39.45,-1.45
91,586257.34,0.9996395,-0.0100876,9.50E-010,-7.30E-010,-4.70E-010,4067409.6,0.0100913,0.9996493,-5.90E-010,-1.40E-010,2.29E-009,"Δεσποτικόν",36.45,1.15
92,320857.52,0.9997806,0.0217461,-2.19E-009,2.32E-009,-4.60E-010,4179847.36,-0.0217525,0.9997788,6.00E-011,-4.10E-010,-4.54E-009,"Δημητσάνα",37.45,-1.45
93,706634.88,0.9997463,-0.0283854,2.35E-009,-2.48E-009,-2.60E-010,4569224.89,0.0283881,0.999746,1.60E-010,2.00E-011,5.02E-009,"Διδυμότειχον",41.15,2.45
94,197276.84,0.9999511,0.0395039,-3.63E-009,3.73E-009,-3.10E-010,4405788.91,-0.039501,0.9999532,2.00E-010,-2.20E-010,-7.24E-009,"Δολιανά",39.45,-3.15
95,367683.96,0.9996854,0.0169372,-9.10E-010,1.41E-009,-1.04E-009,4345448.14,-0.0169219,0.9997116,8.70E-010,-1.00E-010,-1.84E-009,"Δομοκός",39.15,-1.15
96,497190.17,0.9996089,0.0004,2.00E-011,1.10E-010,-8.00E-011,4566293.81,-0.0004027,0.9996091,1.50E-010,1.60E-010,-1.80E-010,"Δράμα",41.15,0.15
97,630888.28,0.9996968,-0.0153116,1.63E-009,-1.56E-009,-3.00E-011,4067976.46,0.0153141,0.9996877,6.00E-011,2.50E-010,3.13E-009,"Δυτικ.Ηράκλεια",36.45,1.45
98,328344.58,0.9996969,0.0231864,-2.00E-009,2.00E-009,-3.50E-010,4512785.39,-0.0231862,0.999692,1.20E-010,-2.40E-010,-4.20E-009,"Έδεσσα",40.45,-1.45
99,325796.29,0.9997039,0.022711,-1.50E-009,1.96E-009,2.60E-010,4401790.36,-0.0227135,0.9997116,-7.40E-010,-2.00E-010,-3.14E-009,"Ελασσών",39.45,-1.45
100,410192.92,0.9996655,0.0112982,-1.47E-009,1.17E-009,-1.00E-011,4289353.75,-0.0113001,0.9996726,2.70E-010,2.90E-010,-2.15E-009,"Ελάτεια",38.45,-0.45
101,856398.54,1.000347,-0.0409876,4.45E-009,-4.28E-009,-1.43E-009,4018803.45,0.0409873,1.0003529,5.10E-010,-3.70E-010,8.70E-009,"Έμπωνας",36.15,4.15
102,587903.13,0.9996119,-0.0096913,2.30E-009,-1.29E-009,-7.90E-010,3901042.23,0.009718,0.9996302,-4.20E-010,-1.20E-010,2.67E-009,"Επάνω-Αρχάναι",35.15,1.15
103,412106.94,0.9996474,0.0116691,-9.20E-010,1.08E-009,-5.00E-010,4455812.81,-0.0116719,0.999652,3.00E-010,-3.70E-010,-2.15E-009,"Επανομή",40.15,-0.45
104,669670.67,0.9997204,-0.0216595,2.01E-009,-2.39E-009,-2.00E-011,4346168.76,0.0216577,0.9997199,1.00E-010,-1.40E-010,4.30E-009,"Ερεσός",39.15,2.15
105,585694.53,0.9996293,-0.0102099,1.24E-009,-1.23E-009,-1.00E-010,4122872.55,0.010199,0.9996365,-2.20E-010,0.00E+000,2.05E-009,"Ερμούπολις",37.15,1.15
106,453315.02,0.9996023,0.0057615,-2.01E-009,2.70E-010,-6.00E-011,4233504.49,-0.005829,0.9996627,-1.10E-009,5.10E-010,-2.36E-009,"Ερυθραί",38.15,-0.15
107,371527.43,0.9996506,0.0176662,-9.90E-010,1.76E-009,-3.00E-011,4567428.49,-0.0176464,0.9996384,0.00E+000,-4.70E-010,-2.79E-009,"Εύζωνοι",41.15,-1.15
108,278318.47,0.9998303,0.0274037,-1.81E-009,2.56E-009,1.10E-010,4236408.18,-0.0274162,0.9998543,6.00E-010,1.00E-011,-5.03E-009,"Ευηνοχώριον",38.15,-2.15
109,367684.08,0.999679,0.0169527,-1.71E-009,1.69E-009,-1.70E-010,4345447.64,-0.0169511,0.9996848,3.40E-010,-2.80E-010,-3.35E-009,"Ευξεινούπολις",39.15,-1.15
110,234562.88,0.9999311,0.0328613,-2.95E-009,3.04E-009,-1.37E-009,4237728.47,-0.032857,0.9999141,3.70E-010,1.60E-010,-5.81E-009,"Εχινάδες",38.15,-2.45
